title,directions
Methodist Slaw,"Add cabbage and salt and let stand for 2 hours., Boil sugar, vinegar and water for 5 minutes and let cool., Squeeze cabbage dry and add remaining ingredients., Mix and refrigerate., Will keep for 6 weeks."
Ham Salad,"Boil the eggs while putting the other ingredients through a food grinder., Chop eggs and mix with other ingredients. Refrigerate until ready to use."
Okra Soup,"Barely cover ham, beef and bones with water and cook until tender., Skim off fat if necessary., Add butter beans, tomatoes, salt and pepper., When beans are half cooked, add okra., Add corn during last 15 minutes of cooking., If necessary, add more water. This makes a hearty, thick soup., Serve over rice or with biscuits or cornbread."
Cherry Cheese Pie,"Prepare Dream Whip as directed., Soften cream cheese; beat with 1/2 cup sugar until smooth., Blend prepared Dream Whip into cheese mixture., Spoon into unbaked 9-inch graham cracker crumb crust., Chill 3 hours or more., Top with 1 cup of canned cherry pie filling."
"Homemade Seasoned ""Herb"" Vinegar","Create your own salad dressing vinegar., Choose one or more fresh herbs., If using herbs, wash and leave on branches., If using garlic, spear on wooden sticks."
Swiss Vegetable Medley,"Combine vegetables, soup, 1/2 cup cheese, sour cream, pepper, pimento and 1/2 can Durkee French fried onions., Pour into a 1-quart casserole., Bake, covered, at 350° for 30 minutes., Top with remaining cheese and onions; bake, uncovered, 5 minutes longer., Preparation time:, 5 minutes., Makes 6 servings."
Aunt Lee'S Punch,"Pour milk in bowl., Pour thawed orange juice into milk and beat., Gradually add sugar., Freeze., When you thaw punch, add 2 quarts ginger ale."
Broccoli Salad,"Cook broccoli as directed on package; drain all water., Add rest of ingredients except cheese., Pour into a slightly greased casserole dish., Sprinkle cheese on top and bake at 350° for 40 minutes."
Beef A La King,"Mix, heat and serve on pastry shells or toast points., Serves 4."
Hawaiian Cake,"Combine cake mix, oranges, 1 package pudding mix, 1 cup pineapple and 4 eggs in a large mixing bowl., Beat for 4 minutes. Pour into greased 9 x 13-inch pan. Bake at 350° for 30 to 40 minutes or until cake tests done., Combine remaining 1 cup pineapple, 1 package pudding mix and Cool Whip in bowl, mixing well. Spread over cooled cake., Chill in refrigerator until serving time."
Any Fruit Cobbler,"Melt oleo in baking dish., Mix dry ingredients., Add milk. Pour 1 can fruit over oleo., Pour the rest over the fruit., Bake until brown at 350°."
Eggplant Provencale,"Macerate eggplant with salt for about 30 minutes to remove liquid and soften., Drain., Saute in a film of olive oil, green pepper and onion; don't brown., Set aside., Dry eggplant on paper towels and saute in film of olive oil, 2 to 4 minutes, to brown. Add onion, pepper and remaining ingredients to eggplant., Cook down to thicken., Serve as a vegetable or over cooked pasta."
Artichoke Heart Casserole,"First, pour the chicken stock into a vegetable steamer and bring it to a rolling boil., Then, one ingredient at a time, begin steaming the cauliflower, broccoli and carrots in the chicken stock until they are tender-crisp (not raw, but not soft either). When each vegetable is cooked, dip it quickly in ice cold water to stop the cooking; drain it in a colander and set it aside in a buttered 11 x 17-inch baking pan."
Mexican Cornbread,"Mix all ingredients and bake in 350° oven for 25 to 30 minutes., When bread is done, melt cheese on top., Bake in 7 x 11-inch well oiled pan."
Honey Mustard Steaks With Grilled Onions,"Combine mustard, parsley, honey, vinegar, water, pepper sauce and pepper., Place beef steaks and onion on grid over medium coals; brush both with glaze., Grill 9 to 12 minutes for rare (140°) to medium (160°), turning once and brushing with glaze., Makes 4 servings."
Grilled Chicken And Fresh Vegetables,"In shallow dish combine chicken and 2 bottles of the salad dressing., Cover and marinate 4 hours in refrigerator., Cut vegetables into bite size pieces and place in another shallow dish., Add remaining 2 bottles of salad dressing; chill., Remove chicken from marinade, reserving marinade., Grill 5 to 6 minutes on each side, basting with marinade., Remove vegetables from marinade., Grill vegetables on wire rack or steamed or sauteed on top of stove., Yields 12 servings."
War Cake,"Place sugar, water, molasses, salt and shortening in a saucepan., Bring to a rapid boil., Cool and then add flour, baking powder and spices sifted together., Add the candied peel., Beat thoroughly and turn into a greased pan; bake in a 350° oven for 45 to 60 minutes."
Taco Dip,"Brown meat and drain grease well., Add taco seasoning mix and heat well., Add Ro-Tel and cheese., Over medium heat, melt cheese, stirring often., Serve warm with chips."
Cranberry Nut Bread,"Grease pans., Mix all dry ingredients., Add wet while beating. Bake 1 hour and 10 minutes at 350°., Double for 2 loaves."
Cherry Cream Cheese Pie,"Beat cheese until fluffy., Gradually add milk, then lemon juice, and vanilla., Mix well., Turn into crust., Chill at least two hours. Put cherry pie filling on top just before serving."
Cornflake Crunch,"On medium-high, cook syrup and sugar until comes to a boil and is clear., Remove from heat., Add peanut butter until well melted. Gradually add cornflakes., Coat well., Spoon onto waxed paper."
Orange Jello Mold,"Place Jell-O in large bowl; add 3 cups boiling water., Add 2 cups cold water or orange juice (I use the orange juice)., Stir in the orange sherbet., Stir in Cool Whip., Add drained orange segment and crushed pineapple., Stir well., Place in container and chill., This recipe fills a Bundt pan and more."
Lemon Pepper Steak And Vegetables,"Rub both sides of steak with lemon pepper seasoning., Place steaks on rack of broiler pan., Broil 2 to 3 inches from heat for 8 to 12 minutes for medium doneness, turning once., Cook vegetables according to package directions until crisp-tender; drain."
Bean Dip,"Brown vegeburger with taco sauce mix., Set aside 1/3 of the vegeburger, olives, tomatoes and onion., Take all of the beans and the 2/3 of the rest of ingredients and mix in large bowl., Spread into casserole dish and garnish with ingredients that were set aside., Bake at 375° for 25 to 30 minutes or until edges boil. Serve with warmed chips and green salad!"
Banana Pound Cake,"Mix all together., Pour into greased Bundt or tube pan and bake 1 hour or until done at 350°."
Potato Supreme,"Mix all ingredients., Spread in greased 9 x 13-inch pan., Top with 1 stick sliced oleo and 2 cups bread crumbs., Bake at 350° for 45 to 60 minutes., May be made ahead and frozen., Bon appetit."
Marinated Vegetables,Mix together and refrigerate.
Dream Fruit Dip,"In small bowl of electric mixer, cream the cheese until soft and smooth., Add the confectioners sugar and beat until well blended., add the sour cream and the rest of the ingredients. Blend just until well combined., Place in a pretty bowl., Cover and chill several hours before serving., Just before serving, place in the center of an attractive large platter., Surround bowl with a variety of fresh fruits, bananas, strawberries, cherries, honeydew melon balls, cantaloupe balls, grapes, pineapple chunks and apple slices."
Lemon Sauce,"Cook sugar, oleo and lemon juice until sugar is dissolved and mixture is clear., Beat eggs to a yellow foam., Add to other mixture., Cook until mixture coats spoon., Cool., Store in refrigerator for up to 6 months., Good served over Bread Pudding."
Dump Cake,"Grease large shallow pan., Pour in can crushed pineapple and cherry pie mix., Spread box of yellow cake mix over fruit., Cut stick of margarine into thin slices on top., Bake at 350° until done."
Cheese Cake,"Mix well., Put in bottom of longer cake pan., Bake in 400° oven until brown., Cool."
Chili,"Brown ground beef., Drain chili beans., Put all ingredients into a large pot and bring to a boil., Simmer 15 minutes., Stir constantly., Add more seasonings to taste., Serve hot with cornbread."
Popcorn Cake,"Melt the margarine, marshmallows and salad oil together., Keep popcorn warm in a large pan in the oven., When ready to make, combine the popcorn with the melted mixture, peanuts and candies. Pack firmly in a well-greased (with butter) angel food or Bundt pan., Refrigerate 30 minutes., Invert on a plate and serve."
Chili,"Saute chopped onions, garlic and celery., Add ground beef; saute until well done., Add remaining ingredients., Cover and simmer slowly for about 1 hour., Stir occasionally., Serve with a dollop of sour cream and grated Cheddar cheese."
Zucchini Casserole,"Preheat oven to 350°., In a skillet, saute onion and zucchini in margarine for approximately 10 minutes (zucchini should be firm)., In a large bowl, combine contents from 1 box of Stove Top stuffing mix, soup, milk and egg and mix together., Add zucchini and onion to mixture., Put in 2-quart casserole dish and top with cheese., Bake at 350° for 45 minutes to 1 hour., Cool for 10 minutes and serve."
Bean Salad,"Drain vegetables., Combine all ingredients., Let stand in refrigerator overnight."
Brownies,"In a large bowl, melt margarine and chocolate square in microwave oven. Add remaining ingredients; blend well., Spread in greased 13 x 9-inch pan., Bake at 350° for 25 to 30 minutes. Cool., Frost or sprinkle with confectioners sugar, if desired."
Pumpkin Bread,"Sift dry ingredients and make a well., Add eggs, pumpkin, oil and water., Mix., Pour in greased tins 1/2 full., Bake at 350° for 1 hour., Use 4 (2 1/2 size) cans or loaf pans."
Broccoli-Rice Casserole,"Mix all ingredients together in a large bowl., Bake in large casserole dish for 1 hour at 350°."
Rhubarb Pie,"Combine this mixture with the rhubarb and dot with 1 tablespoon butter cut in quarters., Pour into pie shell., (I use either regular crust or graham cracker.)"
Southern Lassies,"Mix and roll into a ball., Put small amount in each cup and press around to make a shell., In the bottom of each, put chopped walnuts."
7 Layer Mexican Pie,"In deep dish pie or quiche pan, smear refried beans on bottom. Cover with salsa., Plop guacamole mixture over this and smooth. Add sour cream on top, then cover generously with New York sharp Cheddar cheese., Decorate the top with the black olives and chopped scallions., Serve with a basket of restaurant-style corn tortilla chips for dunking into."
Corn Pudding,"Drain corn; chop in a food processor., Mix all ingredients and place in pan that has 1/2 stick of melted butter or oleo., Bake at 375° for 45 minutes."
Pecan Pie,"Mix sugar and flour together, then add all other ingredients. Add pecans last., Pour into pie crust., Cook 1 hour at 350°."
Cranberry Relish,"Dissolve Jell-O in boiling water., Refrigerate and allow to harden a little., Stir in the cranberries., Mix all ingredients together., Refrigerate and serve."
Brownies,"Preheat oven to 375°., Grease 8 x 8-inch pan., Melt chocolate with shortening., Stir until smooth., Set aside to cool., Sift together flour, baking powder and salt., Beat eggs with sugar until thick., Add flour mixture, chocolate mixture and vanilla to egg mixture., Turn into pan; top with nuts (if desired, half of nuts can be added to batter)., Bake for 25 minutes or until done., Cool in pan; cut., Makes 16 squares."
Mrs. Truman'S Ozark Pudding,"Combine all ingredients., Pour into buttered 8 x 8-inch pan. Bake at 325° for 30 minutes., Serve with cream, whipped cream or ice cream."
Sausage Dressing,"Brown sausage; drain., Saute onions and celery until tender. Add to dressing mix in large bowl., Pour enough hot broth over dressing to moisten., You may want to add a little extra poultry seasoning., Salt and pepper to taste., Add raisins and nuts to stuffing., Stuff bird cavity lightly."
